https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1628726400000,2021-08-12 00:00:00,ETH/USDT,3160.40000000,3239.00000000,2979.29000000,3045.96000000,737628.45808000,2283938414.77176200,1587719
1628640000000,2021-08-11 00:00:00,ETH/USDT,3141.14000000,3274.00000000,3120.27000000,3160.50000000,732546.60433000,2351996141.79722030,1786853
1628553600000,2021-08-10 00:00:00,ETH/USDT,3160.51000000,3233.00000000,3051.22000000,3141.66000000,880675.74443000,2763516346.66778850,1824522
1628467200000,2021-08-09 00:00:00,ETH/USDT,3011.84000000,3186.00000000,2893.23000000,3160.52000000,1129584.61614000,3453771928.06033580,2114151
1628380800000,2021-08-08 00:00:00,ETH/USDT,3160.48000000,3189.99000000,2949.03000000,3011.85000000,966349.70579000,2979960615.13002620,1771162
1628294400000,2021-08-07 00:00:00,ETH/USDT,2891.54000000,3171.00000000,2865.50000000,3160.31000000,1205277.10095000,3673732670.31735410,2318608
1628208000000,2021-08-06 00:00:00,ETH/USDT,2827.01000000,2946.75000000,2720.06000000,2891.58000000,825399.48637000,2334160884.12592920,1873337
1628121600000,2021-08-05 00:00:00,ETH/USDT,2724.55000000,2843.98000000,2529.91000000,2826.99000000,1307720.20654000,3553456266.77196980,2690052
1628035200000,2021-08-04 00:00:00,ETH/USDT,2508.51000000,2772.71000000,2457.68000000,2724.78000000,954590.75360000,2498364633.89465500,1839302
1627948800000,2021-08-03 00:00:00,ETH/USDT,2606.92000000,2632.44000000,2442.32000000,2509.04000000,792960.84375000,1986976146.00415050,1701919
1627862400000,2021-08-02 00:00:00,ETH/USDT,2555.50000000,2666.00000000,2507.00000000,2606.93000000,726701.84952000,1887684672.47104930,1596914
1627776000000,2021-08-01 00:00:00,ETH/USDT,2531.10000000,2697.61000000,2511.24000000,2555.69000000,853495.94078000,2217485596.77845390,1810440
1627689600000,2021-07-31 00:00:00,ETH/USDT,2461.77000000,2553.86000000,2420.68000000,2531.05000000,507601.05026000,1253810139.13837080,1007386
1627603200000,2021-07-30 00:00:00,ETH/USDT,2382.93000000,2471.70000000,2315.92000000,2461.81000000,762577.28797000,1824191451.55863100,1428312
1627516800000,2021-07-29 00:00:00,ETH/USDT,2300.90000000,2400.00000000,2266.12000000,2382.92000000,499364.83496000,1157988358.94629320,1036449
1627430400000,2021-07-28 00:00:00,ETH/USDT,2299.47000000,2345.00000000,2243.15000000,2300.90000000,718202.57727000,1649860557.29344960,1287050
1627344000000,2021-07-27 00:00:00,ETH/USDT,2227.81000000,2319.26000000,2150.50000000,2299.49000000,906359.23478000,2025582065.41379440,1502763
1627257600000,2021-07-26 00:00:00,ETH/USDT,2189.82000000,2433.65000000,2171.57000000,2228.08000000,1393738.16300000,3222622416.25672450,2252910
1627171200000,2021-07-25 00:00:00,ETH/USDT,2184.90000000,2197.41000000,2105.93000000,2189.79000000,535630.27000000,1154562327.65394490,941623
1627084800000,2021-07-24 00:00:00,ETH/USDT,2124.26000000,2199.50000000,2105.58000000,2184.75000000,633075.18592000,1360667031.98300710,1056670
1626998400000,2021-07-23 00:00:00,ETH/USDT,2024.27000000,2130.90000000,1993.22000000,2124.25000000,708160.91322000,1455496732.05165370,1035643
1626912000000,2021-07-22 00:00:00,ETH/USDT,1995.50000000,2046.00000000,1947.62000000,2024.56000000,768854.36590000,1536669128.52045190,1074800
